NumberOfIntegers,DataStructure,insert(),insertAt(),contains(),indexOf(),get(),delete()
7700000,LinkedList,22.48,63.14,96.92,95.92,65.22,0.06
7700000,Vector,24.95,997.72,30.66,30.85,0.02,1025.78
7700000,Vector_Initialized,23.5,1000.85,32.53,32.64,0.02,1007.92

7750000,ArrayList,16.28,1014.58,31.74,31.8,0.01,1030.7
7750000,ArrayList_Initialized,14.98,995.77,31.63,32.06,0.01,1018.27
7750000,LinkedList,14.82,63.26,95.53,96.36,62.22,0.05
7750000,Vector,17.99,993.87,31.85,30.78,0.02,1026.49
7750000,Vector_Initialized,16.43,1031.86,29.74,31.62,0.02,1021.48

7800000,ArrayList,64.64,1051.1,32.1,29.83,0.01,1012.92
7800000,ArrayList_Initialized,8.68,1023.17,32.57,28.87,0.01,1034.03
7800000,LinkedList,7.55,63.91,98.11,96.57,62.4,0.05
7800000,Vector,11.25,1031.29,31.15,31.55,0.02,1015.07
7800000,Vector_Initialized,8.22,1024.14,32.49,30.84,0.03,1021.43

7850000,ArrayList,21.61,1034.64,29.63,30.92,0.01,1017.64
7850000,ArrayList_Initialized,20.59,1017.01,30.92,31.8,0.01,1003.67
7850000,LinkedList,20.51,63.75,116.56,95.81,64.53,0.05
7850000,Vector,23.17,1020.81,31.62,31.69,0.02,1003.61
7850000,Vector_Initialized,22.43,1007.89,33.12,32.59,0.02,1028.14

7900000,ArrayList,17.67,1010.51,29.13,30.94,0.01,1012.73
7900000,ArrayList_Initialized,16.36,1010.14,31.75,31.53,0.01,1035.47
7900000,LinkedList,17.71,67.67,101.36,101.32,70.07,0.06
7900000,Vector,20.91,1017.34,33.21,32.72,0.02,1020.83
7900000,Vector_Initialized,18.16,1012.73,32.0,31.05,0.02,1008.96

7950000,ArrayList,65.53,1026.13,32.81,32.37,0.01,1016.34
7950000,ArrayList_Initialized,8.35,1004.93,30.01,30.61,0.01,1007.55
7950000,LinkedList,7.15,62.71,96.58,96.73,62.47,0.05
7950000,Vector,10.06,996.09,32.63,30.21,0.02,1021.24
7950000,Vector_Initialized,8.85,1011.28,33.42,31.89,0.02,1018.99

8000000,ArrayList,13.1,1006.71,31.4,31.28,0.01,1005.57
8000000,ArrayList_Initialized,11.58,1021.51,29.05,30.52,0.01,1007.48
8000000,LinkedList,11.29,63.87,96.38,98.85,69.85,0.04
8000000,Vector,13.82,1030.18,33.72,28.86,0.02,1002.56
8000000,Vector_Initialized,12.92,999.94,31.03,29.39,0.02,1042.27

8050000,ArrayList,20.54,1026.09,32.25,32.14,0.01,1035.02
8050000,ArrayList_Initialized,19.12,1041.06,32.17,32.08,0.01,1020.91
8050000,LinkedList,175.61,74.27,101.69,99.79,64.41,0.06
8050000,Vector,8.92,1063.42,30.25,32.51,0.02,1007.82
8050000,Vector_Initialized,10.49,1014.56,33.48,33.46,0.02,1046.42

8100000,ArrayList,15.58,1005.2,31.24,30.33,0.01,1014.04
8100000,ArrayList_Initialized,14.2,1022.09,31.59,31.59,0.01,1007.65
8100000,LinkedList,6.95,66.53,99.02,98.28,64.31,0.05
8100000,Vector,9.45,1022.5,30.15,34.29,0.02,1063.85
8100000,Vector_Initialized,8.95,1007.74,32.53,35.93,0.02,1030.12

8150000,ArrayList,13.62,1001.34,30.28,30.77,0.01,1059.11
8150000,ArrayList_Initialized,8.62,1048.1,29.94,29.49,0.01,1032.84
8150000,LinkedList,7.03,69.44,96.54,96.83,62.64,0.05
8150000,Vector,9.08,1021.19,33.03,33.21,0.02,1021.55
8150000,Vector_Initialized,8.85,1005.28,33.18,31.41,0.02,1018.83

8200000,ArrayList,21.0,1011.52,32.46,31.92,0.01,1026.76
8200000,ArrayList_Initialized,30.92,1020.91,31.06,30.92,0.01,1006.41
8200000,LinkedList,21.8,63.38,95.67,97.89,63.39,0.05
8200000,Vector,22.4,1004.9,31.38,29.72,0.02,1030.33
8200000,Vector_Initialized,21.98,1027.62,33.05,33.09,0.02,1011.22

8250000,ArrayList,17.47,1008.38,28.3,29.43,0.01,1018.04
8250000,ArrayList_Initialized,15.29,1013.59,32.87,27.99,0.01,1011.93
8250000,LinkedList,14.96,63.81,96.81,96.7,62.0,0.05
8250000,Vector,18.56,1025.9,30.43,31.02,0.05,1013.85
8250000,Vector_Initialized,17.18,1025.75,32.8,33.06,0.02,1012.4

8300000,ArrayList,148.37,1050.83,30.24,30.19,0.01,1053.28
8300000,ArrayList_Initialized,7.49,1019.57,28.3,28.71,0.01,1041.85
8300000,LinkedList,6.71,64.47,98.29,99.82,65.94,0.05
8300000,Vector,9.79,1008.68,29.9,32.32,0.02,1020.14
8300000,Vector_Initialized,8.48,1028.27,33.03,32.92,0.02,1004.77

8350000,ArrayList,10.97,1051.57,54.25,52.98,0.01,1031.83
8350000,ArrayList_Initialized,9.83,1012.72,31.97,31.78,0.01,1017.29
8350000,LinkedList,8.84,64.19,94.47,93.78,61.58,0.05
8350000,Vector,13.06,1001.15,31.9,32.65,0.02,1025.17
8350000,Vector_Initialized,10.45,1010.59,31.78,32.0,0.02,1041.75

8400000,ArrayList,20.53,1013.0,30.77,30.77,0.01,1022.14
8400000,ArrayList_Initialized,18.78,1001.78,31.83,30.11,0.01,1015.52
8400000,LinkedList,21.77,64.94,101.82,100.43,69.08,0.06
8400000,Vector,24.45,1039.71,33.3,33.13,0.02,1015.74
8400000,Vector_Initialized,22.61,1021.0,32.5,31.98,0.02,1012.84

8450000,ArrayList,19.3,1033.75,29.38,32.85,0.01,1031.06
8450000,ArrayList_Initialized,18.14,1009.73,30.14,29.32,0.01,1028.9
8450000,LinkedList,19.74,62.47,92.25,92.7,61.16,0.05
8450000,Vector,22.11,1010.62,29.01,29.71,0.03,1010.48
8450000,Vector_Initialized,20.95,991.4,32.84,31.31,0.02,1025.98

8500000,ArrayList,19.03,1024.89,31.42,31.89,0.01,1021.38
8500000,ArrayList_Initialized,16.91,994.77,35.47,35.53,0.01,1028.22
8500000,LinkedList,18.18,63.63,98.69,98.63,64.58,0.04
8500000,Vector,20.76,1016.27,35.12,34.49,0.02,1010.5
8500000,Vector_Initialized,19.2,1008.5,31.5,32.3,0.02,1016.04

8550000,ArrayList,15.2,1007.92,27.82,27.9,0.01,1024.91
8550000,ArrayList_Initialized,13.46,1022.66,28.25,28.18,0.01,1001.09
8550000,LinkedList,14.58,63.01,96.99,95.18,61.12,0.05
8550000,Vector,17.56,1009.91,32.9,33.15,0.02,1026.98
8550000,Vector_Initialized,16.77,1026.23,29.22,30.13,0.02,1022.09

8600000,ArrayList,16.18,1024.54,31.85,31.84,0.01,1023.44
8600000,ArrayList_Initialized,14.24,1015.96,32.13,31.75,0.01,1022.66
8600000,LinkedList,14.18,63.17,95.24,96.36,63.57,0.05
8600000,Vector,17.49,1040.49,32.61,32.77,0.02,1037.02
8600000,Vector_Initialized,15.61,1004.32,31.81,31.24,0.02,1024.75

8650000,ArrayList,62.25,1006.88,30.28,28.73,0.01,1040.03
8650000,ArrayList_Initialized,8.58,1019.49,30.79,31.44,0.01,1028.11
8650000,LinkedList,6.33,63.45,94.09,92.4,65.64,0.06
8650000,Vector,11.36,996.15,29.78,30.26,0.04,999.07
8650000,Vector_Initialized,8.99,1010.38,32.06,35.38,0.04,1019.94

8700000,ArrayList,20.46,1000.58,32.01,31.59,0.01,1025.78
8700000,ArrayList_Initialized,18.63,1035.53,30.14,30.64,0.01,1021.94
8700000,LinkedList,20.02,61.51,94.78,96.85,62.49,0.04
8700000,Vector,24.37,1013.71,33.02,33.09,0.02,1015.88
8700000,Vector_Initialized,22.09,1010.11,33.18,33.13,0.02,1010.97

8750000,ArrayList,15.06,1041.58,32.71,31.98,0.01,1013.26
8750000,ArrayList_Initialized,13.96,1014.68,32.3,32.28,0.01,1024.01
8750000,LinkedList,12.83,62.72,97.45,94.59,62.02,0.05
8750000,Vector,16.93,1043.41,31.23,34.24,0.06,1062.63
8750000,Vector_Initialized,16.61,1035.97,31.05,33.18,0.02,1055.26

8800000,ArrayList,23.96,1004.08,32.1,31.67,0.01,1028.14
8800000,ArrayList_Initialized,18.16,1017.75,32.03,31.62,0.01,1024.63
8800000,LinkedList,20.31,65.22,96.95,96.17,63.39,0.05
8800000,Vector,23.15,1004.97,32.08,32.17,0.02,1031.76
8800000,Vector_Initialized,21.3,1007.79,33.09,33.14,0.02,1038.03

8850000,ArrayList,15.68,1005.12,31.96,34.49,0.01,1018.13
8850000,ArrayList_Initialized,13.75,1009.6,29.39,30.63,0.01,1010.59
8850000,LinkedList,16.04,61.65,95.99,95.18,62.34,0.05
8850000,Vector,16.18,992.5,32.94,32.91,0.02,1009.42
8850000,Vector_Initialized,15.65,1011.6,31.84,32.34,0.02,1018.19

8900000,ArrayList,17.58,1012.26,29.84,31.1,0.01,1026.49
8900000,ArrayList_Initialized,15.97,1005.79,30.71,30.54,0.01,1009.67
8900000,LinkedList,16.32,61.79,92.51,97.06,63.34,0.05
8900000,Vector,20.22,1006.56,31.62,31.95,0.04,1005.74
8900000,Vector_Initialized,18.46,1006.09,31.49,29.99,0.02,1067.31

8950000,ArrayList,11.18,1033.89,29.91,31.02,0.01,1021.38
8950000,ArrayList_Initialized,9.78,1008.39,31.47,31.34,0.01,1015.39
8950000,LinkedList,9.08,62.18,95.37,95.34,62.66,0.05
8950000,Vector,11.31,1018.98,32.33,32.55,0.02,1016.69
8950000,Vector_Initialized,10.51,995.27,30.46,31.91,0.02,1014.65

9000000,ArrayList,115.56,1051.59,29.01,28.95,0.01,999.42
9000000,ArrayList_Initialized,8.03,986.13,29.05,29.89,0.01,1003.65
9000000,LinkedList,7.81,62.44,93.8,96.82,62.05,0.03
9000000,Vector,9.65,1008.84,31.42,30.0,0.02,1005.68
9000000,Vector_Initialized,8.94,1018.18,31.07,29.4,0.02,1021.42

9050000,ArrayList,13.27,1002.26,32.12,31.39,0.01,1015.51
9050000,ArrayList_Initialized,10.54,997.7,30.42,27.71,0.01,1005.49
9050000,LinkedList,9.65,63.62,93.38,94.75,61.81,0.05
9050000,Vector,12.28,1010.09,31.59,31.64,0.02,1017.58
9050000,Vector_Initialized,11.4,1024.58,30.97,30.73,0.02,1012.12

9100000,ArrayList,22.41,1006.62,30.48,29.89,0.01,1051.02
9100000,ArrayList_Initialized,20.9,1011.0,30.53,30.37,0.01,1016.23
9100000,LinkedList,21.72,62.6,96.37,94.27,62.5,0.05
9100000,Vector,23.33,1010.12,31.83,31.71,0.02,1023.04
9100000,Vector_Initialized,22.79,1012.6,29.75,29.61,0.02,1012.13

9150000,ArrayList,11.32,997.94,30.78,31.2,0.01,996.67
9150000,ArrayList_Initialized,9.21,1026.41,29.28,31.61,0.01,1026.95
9150000,LinkedList,73.41,68.04,96.31,97.04,62.72,0.06
9150000,Vector,10.23,1015.91,32.77,32.46,0.02,1027.36
9150000,Vector_Initialized,8.68,1038.45,30.88,30.4,0.03,1030.25

9200000,ArrayList,10.92,1024.25,31.43,31.6,0.01,1023.81
9200000,ArrayList_Initialized,9.0,1004.81,31.36,31.28,0.01,1001.5
9200000,LinkedList,7.54,61.67,92.11,96.42,63.03,0.05
9200000,Vector,11.25,1004.36,31.84,31.25,0.02,1008.73
9200000,Vector_Initialized,13.09,1014.1,30.85,30.83,0.02,1021.77

9250000,ArrayList,13.23,1003.51,29.65,29.1,0.01,1013.49
9250000,ArrayList_Initialized,11.28,1002.37,29.91,30.89,0.01,1018.78
9250000,LinkedList,11.15,62.45,95.7,95.98,62.67,0.05
9250000,Vector,13.68,1012.53,31.72,32.65,0.02,1006.23
9250000,Vector_Initialized,12.5,1006.43,29.7,30.68,0.02,1018.63

9300000,ArrayList,14.9,990.16,31.28,30.82,0.01,1020.7
9300000,ArrayList_Initialized,12.32,1007.82,30.78,30.74,0.01,1015.2
9300000,LinkedList,13.24,61.68,91.73,95.54,61.7,0.05
9300000,Vector,15.31,1011.8,31.25,28.35,0.02,1000.0
9300000,Vector_Initialized,13.36,1002.96,32.43,32.49,0.02,1015.29

9350000,ArrayList,16.69,1013.23,32.02,31.27,0.01,1022.72
9350000,ArrayList_Initialized,13.02,1029.99,29.88,31.65,0.01,1025.61
9350000,LinkedList,6.86,61.83,92.31,96.82,62.6,0.06
9350000,Vector,10.44,993.97,31.25,28.87,0.02,992.76
9350000,Vector_Initialized,8.46,1008.37,29.65,30.99,0.02,1008.47

9400000,ArrayList,11.72,999.43,30.62,27.58,0.01,1020.73
9400000,ArrayList_Initialized,10.16,1007.37,31.17,31.05,0.01,1006.44
9400000,LinkedList,9.15,62.49,95.26,95.97,64.22,0.06
9400000,Vector,13.06,1023.79,32.32,32.7,0.02,1030.66
9400000,Vector_Initialized,11.35,1009.79,31.08,32.5,0.02,1016.52

9450000,ArrayList,10.9,1008.87,31.5,31.42,0.01,1030.2
9450000,ArrayList_Initialized,13.14,1014.77,31.04,30.65,0.01,1017.1
9450000,LinkedList,6.19,63.23,96.45,97.08,63.16,0.05
9450000,Vector,10.55,1005.47,29.56,29.54,0.02,1007.97
9450000,Vector_Initialized,9.18,1003.73,29.12,29.07,0.02,1003.61

9500000,ArrayList,21.12,1023.5,34.43,31.23,0.01,1112.19
9500000,ArrayList_Initialized,21.64,1032.88,32.24,34.08,0.01,1033.07
9500000,LinkedList,21.46,62.24,96.62,99.03,65.2,0.05
9500000,Vector,25.78,1032.47,32.78,31.22,0.02,1035.6
9500000,Vector_Initialized,21.63,1049.35,30.45,31.32,0.02,1026.74

9550000,ArrayList,18.34,1012.7,31.21,31.58,0.01,1041.01
9550000,ArrayList_Initialized,16.44,995.82,28.43,29.21,0.01,1010.9
9550000,LinkedList,17.06,63.28,97.37,97.21,62.64,0.05
9550000,Vector,19.85,1024.01,32.36,32.27,0.02,1010.72
9550000,Vector_Initialized,18.82,1009.0,28.73,31.65,0.02,1014.82

9600000,ArrayList,12.02,1013.49,31.62,31.56,0.01,1016.42
9600000,ArrayList_Initialized,11.03,1019.11,30.89,33.78,0.01,1016.25
9600000,LinkedList,10.81,62.63,96.29,96.54,62.47,0.05
9600000,Vector,14.04,1010.03,32.41,32.64,0.02,1023.63
9600000,Vector_Initialized,11.88,1004.22,29.91,30.04,0.02,1010.41

9650000,ArrayList,10.14,1001.69,30.68,31.7,0.01,1017.22
9650000,ArrayList_Initialized,8.45,1005.04,28.61,31.15,0.01,1047.54
9650000,LinkedList,7.97,64.61,99.29,99.42,64.46,0.05
9650000,Vector,11.51,1006.51,32.24,32.1,0.02,1019.39
9650000,Vector_Initialized,11.1,1020.8,29.14,31.64,0.02,993.98

9700000,ArrayList,21.72,1015.95,29.26,28.75,0.01,1031.67
9700000,ArrayList_Initialized,20.15,1014.29,29.9,29.78,0.01,1025.06
9700000,LinkedList,20.63,61.98,94.81,95.44,61.76,0.05
9700000,Vector,24.25,1011.24,32.63,32.7,0.02,1046.09
9700000,Vector_Initialized,25.26,1035.84,31.17,31.78,0.02,1020.77

9750000,ArrayList,12.86,1034.05,27.7,29.48,0.01,999.13
9750000,ArrayList_Initialized,11.7,1003.02,30.92,30.98,0.01,1017.17
9750000,LinkedList,9.12,62.57,94.83,94.63,62.6,0.04
9750000,Vector,12.91,1017.2,31.72,31.15,0.02,1006.17
9750000,Vector_Initialized,12.2,1005.07,33.61,32.71,0.02,1022.37

9800000,ArrayList,20.78,1019.93,32.11,31.69,0.01,1017.44
9800000,ArrayList_Initialized,18.97,1001.77,29.61,32.07,0.01,1022.89
9800000,LinkedList,272.76,73.13,104.39,98.14,63.44,0.06
9800000,Vector,8.6,1010.92,30.35,31.24,0.02,1033.23
9800000,Vector_Initialized,9.25,1023.44,30.34,31.02,0.02,1026.33

9850000,ArrayList,20.78,1001.06,35.05,32.17,0.01,1012.92
9850000,ArrayList_Initialized,19.44,1020.29,35.84,34.78,0.01,1019.52
9850000,LinkedList,22.32,64.49,93.43,99.39,64.57,0.05
9850000,Vector,26.79,1016.04,33.35,33.16,0.02,1014.05
9850000,Vector_Initialized,22.11,1013.39,30.01,30.08,0.02,1011.17

9900000,ArrayList,10.19,1077.78,29.31,30.46,0.01,1013.76
9900000,ArrayList_Initialized,8.42,1012.56,32.88,32.17,0.01,1034.89
9900000,LinkedList,131.73,72.46,95.46,95.58,62.38,0.06
9900000,Vector,10.05,1004.27,32.02,31.49,0.02,1166.81
9900000,Vector_Initialized,8.61,1151.98,29.77,30.29,0.03,1024.75

9950000,ArrayList,14.14,1007.08,31.37,30.98,0.01,1050.55
9950000,ArrayList_Initialized,15.7,1026.29,28.96,28.91,0.01,1017.81
9950000,LinkedList,13.09,63.12,97.84,97.58,62.52,0.05
9950000,Vector,17.99,1014.28,31.35,32.13,0.02,1042.53
9950000,Vector_Initialized,14.55,1006.0,33.36,33.24,0.02,1021.82

10000000,ArrayList,13.39,1045.79,31.87,30.65,0.01,1024.5
10000000,ArrayList_Initialized,11.57,1020.34,30.97,31.55,0.01,1029.96
10000000,LinkedList,13.63,66.22,100.34,97.24,63.14,0.05
10000000,Vector,14.27,1041.94,31.48,29.84,0.03,1013.59
10000000,Vector_Initialized,12.43,1015.77,30.38,32.64,0.02,1037.91

10050000,ArrayList,17.17,992.62,29.79,30.08,0.01,1008.55
10050000,ArrayList_Initialized,14.21,1078.29,37.58,31.54,0.01,1023.62
10050000,LinkedList,6.86,64.81,97.05,96.43,62.93,0.04
10050000,Vector,10.05,1016.33,33.08,32.73,0.02,1037.25
10050000,Vector_Initialized,8.65,1027.03,32.72,32.82,0.02,1015.95
